q1,q2,q3,q4,q5,q5x1,q5x2,q6,q7,q8,q9x1,q9x2s1,q9x2s2,q9x2s3,q9x2s4,q9x2s5,q9x2s6,q9x2s7,q9x2s8,q9x3s1,q9x3s2,q9x3s3,q9x3s4,q9x3s5,q9x3s6,q9x4,q10,q10x1,q10x2,q10x2num,q11,q15x1,q15x2,q15x3,q12x1,q12x2,q12x3,q12x4,q12x5,q12x6,q12x7,q12x8,q12x9,q13x1,q13x2,q13x3,q13x4,q13x5,q14x1,q14x2,q14x3,q14x4,cityid,population,citysize,region
2,28,3,4,1,3,3,9,2,2,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,1,1,15,2,3,2,2,2,2,3,3,3,2,2,3,2,2,3,3,2,2,2,3,3,2,8564,18868,3,2
1,12,3,4,3,2,6,4,2,2,6,1,1,0,1,0,0,0,1,0,1,0,0,0,0,5,2,888,888,888,2,3,3,3,3,2,3,2,3,3,3,2,3,2,3,2,1,3,2,2,3,2,8564,18868,3,2
1,30,6,3,3,5,7,2,1,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,7,1,1,1,100,2,3,2,2,1,2,4,4,3,4,3,4,3,4,4,1,2,3,4,3,2,2,8564,18868,3,2
2,40,4,2,3,2,5,999,2,4,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,100,2,2,3,3,3,2,2,3,1,1,1,1,1,1,1,2,3,2,2,2,2,3,8564,18868,3,2
2,19,3,5,3,2,4,10,2,1,6,1,0,0,1,0,0,0,0,1,0,1,0,0,0,4,1,1,1,15,1,3,1,3,3,3,3,3,2,1,2,3,1,4,3,2,1,2,3,3,2,3,11201,327428,2,2
1,40,2,4,1,5,2,7,2,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,1,1,70,2,3,3,3,2,2,3,3,3,2,3,3,3,3,2,3,2,3,1,2,3,2,11201,327428,2,2
1,24,4,5,1,1,3,999,2,2,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,1,1,100,3,2,2,2,2,1,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,3,11201,327428,2,2
1,33,6,7,1,6,3,5,2,3,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,1,1,100,1,2,2,2,3,2,3,3,3,3,1,3,2,2,3,3,3,3,3,3,3,3,11201,327428,2,2
2,15,3,6,3,2,5,4,2,1,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,1,1,10,2,2,2,2,2,1,4,4,4,4,1,4,1,4,4,1,1,4,1,2,4,2,11201,327428,2,2
2,40,4,4,1,3,4,8,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,1,1,100,1,3,2,2,2,2,2,2,2,1,1,2,1,3,2,3,3,3,2,3,3,2,11201,327428,2,2
1,55,4,5,1,2,3,9,1,2,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,80,2,2,1,2,3,2,3,4,4,1,1,4,2,4,4,2,2,3,4,4,1,3,11201,327428,2,2
1,11,6,2,3,2,4,9,1,2,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3,2,888,888,888,1,3,3,4,3,1,3,2,1,2,2,3,2,3,4,3,2,3,2,2,4,2,11201,327428,2,2
2,43,4,3,1,3,2,7,1,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,50,1,3,3,3,3,2,2,3,3,2,1,2,2,2,2,3,3,3,2,2,3,3,11201,327428,2,2
2,30,4,7,1,6,3,7,1,3,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,1,1,80,1,1,2,1,3,2,4,3,2,3,1,3,2,3,3,3,2,2,2,3,3,3,11201,327428,2,2
1,10,3,7,1,1,1,7,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,888,888,3,3,2,1,1,2,2,2,1,3,1,2,1,4,4,1,9,1,1,1,4,1,11362,12055,3,2
2,30,5,7,3,2,4,8,1,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,20,1,4,3,1,2,1,4,4,1,2,1,4,1,3,2,3,2,4,1,2,4,1,11362,12055,3,2
1,42,3,3,1,2,3,5,2,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,5,1,4,4,4,4,3,4,2,4,3,2,4,2,3,3,3,2,2,2,3,3,2,11362,12055,3,2
2,37,5,3,1,2,5,7,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,15,1,4,3,4,2,1,2,2,2,1,1,2,2,3,2,3,3,3,3,3,3,3,11362,12055,3,2
1,40,4,6,1,5,2,6,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,200,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,11362,12055,3,2
1,18,3,7,1,1,3,999,2,3,4,1,1,0,1,1,0,0,0,1,0,0,0,0,0,4,2,888,888,888,999,4,3,1,4,4,4,4,4,4,3,4,4,4,3,1,1,3,3,2,4,1,11362,12055,3,2
1,10,2,6,1,5,4,7,2,2,4,1,1,0,0,0,1,0,1,1,1,1,1,1,1,5,1,1,1,200,5,2,1,2,3,1,3,3,3,4,3,2,2,3,4,2,1,1,1,2,4,1,13104,270989,1,2
1,12,2,5,1,5,3,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,888,888,888,2,4,3,2,2,2,4,4,4,2,1,3,3,1,2,2,2,2,2,3,4,3,13104,270989,1,2
1,6,6,7,1,5,3,6,2,2,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,888,888,888,4,2,2,2,2,3,2,2,2,2,3,9,2,2,3,2,3,2,2,2,3,2,13104,270989,1,2
2,43,5,6,1,3,3,7,2,4,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,50,2,3,2,2,3,3,2,2,2,3,1,2,4,2,2,2,2,2,3,3,2,3,13104,270989,1,2
2,40,5,2,3,2,4,8,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,1,100,1,3,3,3,3,2,2,2,2,1,2,2,2,2,2,3,2,2,3,3,3,3,13104,270989,1,2
2,43,5,4,1,3,4,6,2,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,80,2,2,2,2,1,1,2,3,3,2,1,2,2,2,2,3,2,3,2,2,3,2,13104,270989,1,2
2,12,4,6,1,3,5,4,1,2,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,4,2,888,888,888,2,3,3,3,3,3,3,3,3,2,1,3,2,3,3,3,3,3,1,2,3,2,13104,270989,1,2
1,50,6,2,1,2,5,5,2,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,130,2,2,2,3,2,2,4,4,2,1,1,3,2,3,2,3,2,3,2,2,4,2,13104,270989,1,2
2,19,3,4,1,3,3,9,1,2,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,4,1,1,1,30,2,3,3,3,3,2,3,3,3,3,2,3,2,2,2,2,2,2,1,1,3,2,13108,398438,1,2
2,44,4,5,1,2,3,7,1,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,10,1,1,1,1,1,2,4,4,4,1,3,4,4,1,1,3,2,4,1,3,3,4,13108,398438,1,2
2,13,3,5,3,4,3,6,1,2,4,0,0,0,1,1,1,0,0,1,1,0,0,0,0,4,1,1,1,10,4,4,4,4,2,2,3,3,2,4,3,4,3,4,2,2,1,2,1,2,4,3,13108,398438,1,2
1,33,3,4,1,2,4,9,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,100,2,4,4,4,3,3,4,4,4,3,2,4,2,2,4,3,3,3,1,1,4,2,13108,398438,1,2
2,44,3,3,1,3,3,999,2,3,5,1,0,1,1,0,0,0,0,1,0,0,0,0,0,3,1,2,888,888,2,3,3,3,3,2,3,2,3,1,1,3,1,2,1,3,2,3,2,3,3,3,13108,398438,1,2
2,32,5,4,3,2,5,5,3,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,10,1,4,3,3,3,2,2,2,2,2,2,3,2,2,2,3,3,3,2,2,3,3,13108,398438,1,2
2,16,2,7,4,888,888,2,2,3,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,4,1,2,888,888,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,13108,398438,1,2
1,40,3,2,1,2,4,5,2,3,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,1,1,10,999,3,4,4,3,2,4,4,2,3,2,4,2,4,3,2,1,3,3,3,3,3,13108,398438,1,2
2,47,3,3,3,3,3,999,1,1,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,50,4,3,3,3,2,2,3,2,3,2,2,3,2,3,2,3,3,3,3,3,3,3,13108,398438,1,2
1,18,3,6,1,5,2,7,1,2,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,273,1,3,2,2,2,2,3,4,4,4,4,4,4,3,3,3,2,3,2,2,3,3,13108,398438,1,2
2,31,3,4,3,2,4,9,2,4,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,5,2,888,888,888,999,2,3,3,3,2,4,3,2,4,1,4,2,2,3,2,2,3,3,2,3,2,13108,398438,1,2
2,27,3,4,1,2,4,8,1,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,1,1,1,10,5,4,3,4,3,2,3,3,2,2,2,4,1,3,3,2,2,3,2,3,4,2,13108,398438,1,2
1,40,3,4,1,2,3,6,1,5,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,100,1,4,4,4,4,1,3,3,2,1,1,3,2,2,2,4,4,3,3,2,3,4,13111,651113,1,2
2,25,3,3,1,3,3,2,2,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,2,888,888,5,2,3,2,2,1,3,3,2,2,3,2,3,3,2,4,2,2,2,2,2,3,13111,651113,1,2
1,6,3,6,1,5,7,6,2,3,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,2,888,888,888,2,4,4,3,2,3,2,3,2,1,1,3,2,3,3,3,3,3,2,2,3,2,13111,651113,1,2
1,31,6,7,1,2,4,999,2,2,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,4,1,1,1,20,5,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3,3,2,13111,651113,1,2
1,15,2,7,1,5,3,6,1,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,888,888,888,3,3,3,3,2,2,4,3,4,2,1,3,2,2,1,2,1,3,3,2,3,3,13111,651113,1,2
2,29,6,4,3,2,4,8,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,20,2,4,4,4,2,1,2,3,2,1,2,2,2,4,3,3,3,2,2,2,4,3,13111,651113,1,2
2,49,3,3,3,4,3,8,2,2,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,70,2,4,4,4,9,9,9,9,9,9,9,9,9,2,2,3,4,1,1,1,4,2,13111,651113,1,2
2,53,3,2,3,3,3,5,1,4,6,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,1,1,50,5,4,4,4,2,1,2,2,4,2,2,2,1,3,3,3,1,1,1,2,3,3,13111,651113,1,2
2,40,3,4,3,2,3,7,2,3,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,30,2,3,3,3,3,2,2,2,2,1,1,2,2,2,1,2,2,2,3,2,3,3,13111,651113,1,2
2,38,3,3,1,3,3,7,2,2,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,50,2,4,4,4,4,4,4,4,4,3,3,4,2,3,3,1,1,2,2,3,3,2,13111,651113,1,2
2,40,3,4,1,2,4,7,1,1,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,30,5,4,3,4,2,2,3,3,3,4,2,3,3,3,3,2,2,3,3,2,3,3,13111,651113,1,2
2,18,3,5,3,2,4,8,2,1,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,1,1,30,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,2,9,3,2,2,3,2,13111,651113,1,2
2,12,999,3,1,1,6,999,1,4,6,1,0,0,1,0,1,1,1,0,0,1,0,1,0,4,1,1,1,160,1,4,4,4,1,2,4,3,1,3,3,4,1,4,3,1,1,4,2,2,3,3,13112,799758,1,2
1,40,4,1,1,1,2,6,2,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,150,2,2,3,2,3,3,3,3,3,2,2,3,2,2,2,3,2,2,2,2,2,3,13112,799758,1,2
2,31,5,7,1,3,4,6,2,5,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,7,1,1,1,50,1,3,4,4,1,1,3,2,2,2,1,3,2,3,2,3,2,3,2,3,2,4,13112,799758,1,2
2,28,4,5,3,2,5,8,1,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,1,1,120,1,3,3,2,3,2,4,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,13112,799758,1,2
2,8,6,5,3,2,5,1,4,2,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,888,888,888,1,3,4,4,2,1,2,2,2,1,2,3,1,2,2,2,1,1,1,1,4,2,13112,799758,1,2
2,22,6,5,1,8,3,6,1,2,5,1,1,1,1,1,1,0,0,1,0,0,0,0,0,4,1,1,1,10,1,4,3,4,3,2,3,3,3,2,2,3,2,3,2,3,2,3,2,2,3,2,13115,512589,1,2
2,18,3,5,3,2,4,10,2,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,4,2,3,4,4,2,3,3,2,2,2,2,2,2,3,2,3,2,1,3,2,2,3,13115,512589,1,2
1,37,6,3,1,2,5,8,2,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,40,1,3,2,1,2,4,4,2,2,3,3,3,2,3,3,2,2,2,1,1,3,2,13115,512589,1,2
2,36,3,4,1,3,3,6,1,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,1,1,70,5,4,4,4,4,2,3,1,1,1,1,2,1,4,1,4,4,1,1,1,4,2,13115,512589,1,2
1,52,6,3,1,2,3,5,2,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,200,2,3,3,3,2,2,3,2,3,4,2,2,2,2,3,2,1,1,2,2,3,1,13115,512589,1,2
1,43,6,3,1,2,5,7,1,2,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,20,2,4,2,3,3,1,2,2,3,3,4,3,3,2,2,3,3,3,1,1,3,3,13115,512589,1,2
1,10,6,4,1,1,6,6,1,1,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,1,1,150,5,4,2,4,1,1,2,3,3,3,3,3,2,3,3,3,2,3,2,2,4,2,13115,512589,1,2
1,46,6,3,3,2,4,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,888,888,1,4,4,4,4,1,4,3,4,4,1,3,3,4,3,1,2,3,1,1,4,2,13115,512589,1,2
1,32,3,2,1,2,6,7,1,2,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,4,1,1,1,100,1,3,4,4,2,2,3,3,3,2,2,3,2,3,3,2,2,2,2,2,4,2,13115,512589,1,2
1,39,4,3,1,1,3,6,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,200,2,3,3,3,3,2,2,3,2,2,3,2,3,2,3,3,2,2,2,2,3,2,13115,512589,1,2
2,14,2,6,3,3,3,8,2,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,10,2,3,1,1,1,1,3,3,3,4,1,4,1,2,1,2,2,2,1,2,3,2,13117,315669,1,2
1,19,6,4,1,3,2,6,1,2,3,1,0,0,1,0,0,0,0,1,0,1,1,0,0,3,1,1,1,10,1,4,4,4,2,2,3,3,2,3,2,3,2,3,4,2,2,1,1,1,4,1,13117,315669,1,2
1,21,6,7,1,1,6,9,1,1,4,1,0,1,1,0,1,1,1,0,1,1,0,0,0,4,1,1,1,100,1,2,3,3,2,1,4,4,4,4,4,4,1,4,4,1,1,1,1,1,4,1,13117,315669,1,2
2,45,5,2,3,2,4,6,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,1,1,10,5,3,2,2,2,2,4,4,4,4,4,4,3,3,3,3,2,3,3,3,2,3,13117,315669,1,2
2,35,5,2,3,3,3,7,2,2,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,1,1,30,5,4,4,4,1,1,4,3,2,3,3,3,3,4,2,2,2,2,2,2,3,2,13117,315669,1,2
2,37,5,3,3,2,3,7,2,3,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7,1,1,1,50,5,4,4,4,3,2,2,2,2,2,1,2,2,2,2,3,2,1,2,3,3,2,13117,315669,1,2
1,48,4,2,1,2,5,5,3,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,80,5,2,3,3,3,3,2,3,2,3,3,3,2,3,2,3,2,2,2,2,3,3,13117,315669,1,2
2,44,5,3,1,2,5,9,2,2,7,999,999,999,999,999,999,999,999,0,0,0,0,0,0,7,1,1,1,25,2,4,3,4,3,3,3,3,2,1,1,3,2,2,3,3,3,2,2,2,3,2,13117,315669,1,2
1,11,6,6,3,2,6,999,2,3,4,1,1,1,1,1,1,0,0,0,1,1,0,0,0,4,1,1,1,30,2,3,4,3,2,3,4,3,2,3,3,3,3,3,3,2,3,3,1,2,3,2,13117,315669,1,2
2,19,2,6,1,3,3,4,2,2,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,3,2,888,888,888,2,3,3,3,2,2,4,3,2,1,2,3,3,2,2,2,2,3,2,2,3,3,13117,315669,1,2
2,28,3,5,3,2,4,999,1,5,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,888,888,888,2,3,3,3,3,2,3,2,3,2,2,3,2,2,2,4,2,1,3,3,3,3,13117,315669,1,2
1,12,6,2,3,2,5,5,2,2,5,1,0,0,1,0,0,0,0,1,1,0,1,0,0,4,2,888,888,888,1,3,3,3,3,3,3,3,2,2,2,3,2,2,3,2,2,2,2,2,3,2,13120,667930,1,2
2,49,6,2,1,3,4,6,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,150,1,4,4,4,2,1,2,2,1,2,1,2,1,2,2,3,2,2,2,2,3,3,13120,667930,1,2
1,14,2,6,1,5,3,999,2,2,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,2,888,888,2,4,4,4,1,4,4,4,1,1,1,4,1,1,1,4,1,4,4,4,4,4,13120,667930,1,2
2,21,5,6,3,3,3,9,1,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,70,4,3,3,2,2,1,2,2,4,1,2,3,2,3,2,4,2,2,2,2,3,2,13120,667930,1,2
1,33,6,4,1,2,4,7,2,2,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,100,2,3,3,3,3,2,2,3,3,3,3,3,3,3,4,1,2,3,2,2,3,2,13120,667930,1,2
1,21,3,1,4,888,888,11,3,3,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,888,888,888,1,2,2,2,3,2,3,3,2,1,2,4,3,3,2,2,3,2,1,1,2,2,13120,667930,1,2
2,15,3,6,1,2,4,11,1,2,6,1,0,1,1,0,0,0,0,1,0,0,0,0,0,5,2,888,888,888,2,3,3,3,2,1,3,2,3,2,2,2,1,1,4,2,2,4,1,2,4,2,13120,667930,1,2
2,45,5,2,3,2,4,8,1,2,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1,40,4,3,3,3,2,1,2,1,3,2,3,2,2,3,2,3,2,2,2,3,3,3,13120,667930,1,2
1,16,5,5,1,3,4,4,1,1,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,3,1,1,1,10,1,4,3,3,2,1,3,2,2,2,2,3,1,2,2,3,2,2,2,2,3,4,13120,667930,1,2
2,46,5,4,3,2,5,8,1,1,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,1,1,40,2,4,3,4,1,1,1,2,2,4,3,2,2,1,1,3,2,2,2,2,3,1,13120,667930,1,2
2,19,2,5,3,3,3,6,2,2,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,2,888,888,5,2,3,4,2,1,3,3,3,2,1,3,3,3,2,4,2,2,2,2,4,2,13121,622952,1,2
1,24,3,5,3,3,3,4,3,4,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,1,10,2,3,4,4,3,3,4,4,4,4,3,3,4,2,2,3,2,3,3,3,3,3,13121,622952,1,2
1,5,5,6,3,5,4,4,2,3,5,1,0,1,0,0,1,1,1,0,1,1,0,0,0,4,2,888,888,888,1,2,3,3,3,2,4,4,4,1,1,4,4,2,1,2,1,2,1,1,4,2,13121,622952,1,2
2,32,2,4,1,3,2,5,2,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,888,888,888,5,4,4,4,4,2,4,4,4,2,1,3,3,1,1,4,3,3,4,4,2,4,13121,622952,1,2
1,28,6,2,1,1,6,6,1,2,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,4,1,1,1,50,1,4,4,4,2,2,3,3,2,3,3,3,2,3,3,2,4,2,1,2,4,2,13121,622952,1,2
2,25,4,5,1,2,5,6,2,3,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,30,4,3,4,3,1,1,1,2,3,1,3,1,2,1,2,3,2,3,1,2,3,1,13121,622952,1,2
2,16,3,4,3,999,999,3,2,2,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,888,888,888,3,4,3,3,2,1,4,3,2,3,2,3,1,3,2,2,2,3,2,2,4,2,13121,622952,1,2
1,43,3,5,1,5,7,5,2,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,150,1,3,2,3,3,3,4,4,4,3,3,4,4,3,4,2,2,2,3,1,2,3,13121,622952,1,2
2,19,2,5,1,3,7,999,3,3,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,2,888,888,888,2,3,3,3,2,2,3,3,2,2,1,3,2,2,1,2,2,2,1,1,4,2,13121,622952,1,2
1,33,6,4,1,2,6,8,2,2,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,1,1,20,5,3,3,4,3,3,2,3,2,2,2,2,2,2,2,3,3,2,2,2,3,3,13123,633949,1,2
1,44,3,5,1,5,2,9,1,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,2,888,888,2,3,1,2,1,2,4,4,4,4,3,3,2,4,2,1,2,2,2,2,4,2,13123,633949,1,2
1,45,6,6,1,1,4,9,3,4,5,0,0,1,1,0,0,0,0,0,0,1,0,1,0,4,1,2,888,888,2,3,3,3,3,2,4,4,3,3,3,4,3,3,3,2,2,2,2,1,4,2,13123,633949,1,2
2,48,3,2,3,4,4,6,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,100,5,3,4,4,4,3,2,2,1,1,1,1,1,1,2,1,3,3,1,2,1,2,13123,633949,1,2
2,51,4,2,2,2,5,5,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,140,1,3,4,4,1,1,2,2,3,2,1,2,1,3,3,3,3,2,2,2,3,2,13123,633949,1,2
2,40,3,4,1,3,3,8,2,3,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,1,250,2,3,3,4,2,1,3,2,2,2,3,3,3,3,3,2,1,2,2,2,3,3,13123,633949,1,2
2,21,3,5,3,7,2,10,1,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,888,888,888,2,3,3,3,2,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,3,2,13123,633949,1,2
1,24,3,7,1,5,7,6,2,4,4,1,0,0,1,0,0,0,0,1,1,0,0,0,0,4,1,2,888,888,4,3,3,2,1,2,3,3,3,3,2,3,2,2,3,3,3,2,2,2,3,2,13123,633949,1,2
1,38,6,3,1,2,4,6,3,4,4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,1,1,30,1,4,4,4,3,2,2,2,2,1,1,2,2,3,3,2,3,2,2,2,3,3,13123,633949,1,2
1,16,6,1,3,2,6,999,3,3,5,1,0,0,1,0,0,0,0,0,0,1,1,0,0,5,1,1,1,20,3,2,2,2,2,1,3,3,2,1,1,3,2,3,3,2,1,3,1,1,4,2,13209,397746,1,2
